transaction_id,customer_id,username,email,timestamp,channel,amount_src,new_device,ip_country,location_mismatch,ip_risk_score,kyc_tier,account_age_days,device_trust_score,chargeback_history_count,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,is_fraud
dc58dbbc-9324-4955-802b-9524ca9b90f5,d71c91b4-fee8-4104-9856-a5c6109a62e3,Zaw Hein,zaw.hein191@ymail.com,2024-06-23 03:53:50.468549+00:00,web,18.12,False,us,False,0.301,standard,298,0.336,0,0.166,0,0,0.0,1
e5ed14af-3f93-4347-9702-dab52b2dce27,402cccc9-28de-45b3-9af7-cc5302aa1f93,Po Kyaw,po.kyaw352@protonmail.com,2023-04-06 13:49:48.468549+00:00,mobile,41.61,False,us,False,0.738,standard,263,0.522,0,0.223,0,0,0.25,0
a468f18a-f6cd-4308-ac00-e72a2a158af8,f7531a78-8bbe-4a85-b1e8-a0650edddc72,Phu Aung,phu.aung802@protonmail.com,2023-02-10 08:12:59.468549+00:00,mobile,209.11,False,us,False,0.216,standard,1016,0.944,0,0.247,0,0,0.0,0
a9fe3b18-8636-433b-b551-aed9a8af184d,af8ca4c4-8703-4c55-b66c-2b76cd70040d,Kaung Aung,kaung.aung948@protonmail.com,2024-02-14 17:26:33.468549+00:00,web,107.46,False,us,False,0.138,standard,1018,0.934,0,0.087,0,0,0.0,0
39d9bd69-3d9a-4fab-8f26-ac9227f0c1c6,d71c91b4-fee8-4104-9856-a5c6109a62e3,Sandar Chit,sandar.chit777@gmail.com,2025-04-01 07:34:38.468549+00:00,mobile,158.9,False,us,False,0.516,standard,298,0.336,0,0.166,0,0,0.0,0
f0a89afe-4ca5-465b-93df-b2850e20f324,7bd5200c-5d19-44f0-9afe-8b339a05366b,Hla Pe,hla.pe658@protonmail.com,2025-08-25 04:57:38.468549+00:00,web,256.22,False,us,False,0.583,standard,147,0.551,0,0.391,0,0,0.0,0
20a9ab52-9b31-42a2-bdf9-1bc763ddec3c,7795eb78-a695-44b8-932b-0217a5085912,Shwe Ko,shwe.ko393@ymail.com,2024-02-08 08:21:40.468549+00:00,mobile,85.93,False,ca,False,0.534,low,615,0.515,0,0.355,0,0,0.0,0
9e2ebcf0-e7c3-4887-a6bf-b417ec867430,66c71a44-d07c-4a20-a576-0a377193bf6b,Aung Myo,aung.myo681@outlook.com,2024-06-13 14:08:31.468549+00:00,web,51.71,False,us,False,0.313,standard,34,0.427,0,0.068,0,0,0.0,0
829ffabc-c1d1-4784-864a-faf83086ed87,402cccc9-28de-45b3-9af7-cc5302aa1f93,Maung Hlaing,maung.hlaing314@gmail.com,2024-03-14 19:19:24.468549+00:00,mobile,68.25,False,us,False,0.26,standard,263,0.522,0,0.223,0,0,0.1,0
d4f3441c-a6b7-4eb3-98c9-40a341acc266,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,Khin Wai,khin.wai808@ymail.com,2025-05-23 15:51:30.468549+00:00,mobile,77.32,False,us,False,0.273,enhanced,367,0.939,0,0.176,0,0,0.1,0
fad8595f-a724-4e32-9a4c-79601f071263,140d2232-ee97-4934-81aa-9e5c323d7c6f,Phyo Wai,phyo.wai344@protonmail.com,2024-11-05 01:08:15.468549+00:00,mobile,176.66,False,ca,False,0.832,low,824,0.607,0,0.282,0,0,0.0,0
d2ab287f-7244-4004-9a9a-c8f08c0ab5ae,7bd5200c-5d19-44f0-9afe-8b339a05366b,Thu Khaing,thu.khaing202@mail.com,2025-01-26 06:47:40.468549+00:00,web,175.35,False,uk,True,0.425,standard,147,0.551,0,0.391,0,0,0.1,0
2bdcf457-5443-49e5-978b-a0f4dcbf3b96,d71c91b4-fee8-4104-9856-a5c6109a62e3,Po Hlaing,po.hlaing295@protonmail.com,0000-00-00t00:00:00z,web,201.77,False,us,False,0.557,standard,298,0.336,0,0.166,0,0,0.0,0
88acb7c0-8f0e-49f5-b8f7-e9111a2b580c,67c2c6b3-ef0a-4777-a3f1-c84a851bb6ad,Tun Zaw Ni,tun.zawni237@outlook.com,2024-11-09 04:15:20.468549+00:00,mobile,79.79,False,ca,False,0.324,standard,947,0.625,0,0.268,0,0,0.0,0
5c514956-5759-4782-87e6-3d8eb7c81373,f7531a78-8bbe-4a85-b1e8-a0650edddc72,Wai Yan Aung,waiyan.aung542@protonmail.com,2025-08-10 15:36:15.468549+00:00,mobile,165.99,False,us,False,0.132,standard,1016,0.944,0,0.247,0,0,0.25,0
7ede7e68-9f88-4eb9-98f6-ba49b86c983c,402cccc9-28de-45b3-9af7-cc5302aa1f93,Wai Kyaw,wai.kyaw691@ymail.com,2025-03-05 10:54:49.468549+00:00,mobile,71.2,False,us,False,0.214,standard,263,0.522,0,0.223,0,0,0.0,0
fa046d9a-df58-4404-9cad-7180f01ce195,f7531a78-8bbe-4a85-b1e8-a0650edddc72,Zaw Naing,zaw.naing791@outlook.com,2023-07-07 16:22:17.468549+00:00,mobile,58.17,False,us,False,0.497,standard,1016,0.944,0,0.247,0,1,0.0,0
de952e19-a98b-46b2-a562-d7f2386cf19f,402cccc9-28de-45b3-9af7-cc5302aa1f93,Yamin Zaw Ni,yamin.zawni106@outlook.com,2024-05-28 09:05:20.468549+00:00,mobile,48.47,False,uk,True,0.335,standard,263,0.522,0,0.223,0,0,0.0,0
f7146fb2-da33-4d88-87a7-2958617ee731,23d9943d-57b1-42eb-9ef2-05eed7fd1957,Hla Oo,hla.oo273@mail.com,2025-09-22 05:32:58.468549+00:00,mobile,-186.29,False,uk,False,1.2,standard,718,-0.1,0,0.169,-1,0,0.05,0
c8389d28-40a3-4e47-8c97-0c7d7d28206d,6d0d9b27-fa26-45f8-93b1-2df29d182d9c,Ri Wai,ri.wai402@gmail.com,2022-10-24 06:54:09.468549+00:00,web,106.95,False,us,False,0.865,enhanced,367,0.939,0,0.176,0,0,0.1,0
noise-0082,cust_noise-0082,Win Lwin,win.lwin941@gmail.com,2025-05-10 03:46:28.468549+00:00,web,1836.6778311509925,False,us,False,0.377,standard,1089,0.864,1,0.5774472534683572,6,0,0.1,0
0c6ea239-36c3-44ae-a4a6-96bba4553abb,af8ca4c4-8703-4c55-b66c-2b76cd70040d,Wai Yan Ko,waiyan.ko491@outlook.com,2023-10-30 09:31:49.468549+00:00,web,91.59,False,uk,True,0.666,standard,1018,0.934,0,0.087,6,6,0.0,0
218415ff-f768-43f1-ae21-2ca7e5282a39,0d012410-8776-48ae-80a8-49075f180e22,Sandar Hein,sandar.hein539@outlook.com,2023-08-31 05:24:35.468549+00:00,web,188.49,False,uk,False,0.444,low,454,0.71,0,0.238,0,1,0.0,0
851ddfcc-792c-43d3-94b6-e8da19456f8a,af8ca4c4-8703-4c55-b66c-2b76cd70040d,Aung Lwin,aung.lwin627@outlook.com,2024-08-28 03:09:50.468549+00:00,atm,199.95,True,us,False,0.243,standard,1018,0.784,0,0.087,0,0,0.1,0
2adc481d-6453-4c8f-962c-7e2bcfe98166,7041b9c1-3719-4ca8-9a6b-811b47cea6c0,Maung Ko,maung.ko528@outlook.com,2024-11-30 12:49:23.468549+00:00,web,167.19,False,uk,False,0.27,standard,4,0.892,0,0.407,0,0,0.0,0
